Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",AA Batt,2,Battery_Cell,
"C1, C4",C_0402_1005Metric,2,10nF,
"C12, C21, C9",C_1206_3216Metric,3,10uF,
C14,C_0603_1608Metric,1,20nF,
C15,C_0805_2012Metric,1,4.7uF,
C16,C_0603_1608Metric,1,1uF,
"C18, C19, C23",C_0402_1005Metric,3,100nF,
C2,C_0603_1608Metric,1,4.7uF,
C3,C_1206_3216Metric,1,22uF,
C5,CP_Elec_8x10.5,1,1000uF,C99833
D1,LED_D5.0mm_Horizontal_O3.81mm_Z3.0mm,1,IR333-A,C264290
D3,FM-B2020RGBA-HG,1,LED_RGBA,
H1,Mounting Hole 2.3mm,1,MountingHole,
J1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Male,
J2,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Male,
"J4, J5",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Male,
JP1,PinHeader_1x03_P2.54mm_Vertical,1,Jumper_3_Bridged12,
JP2,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Jumper_2_Open,
L2,L_0402_1005Metric,1,15nH,
L3,L_0603_1608Metric,1,10uH,
"P13, P16, P17, P2, P22, P23, P24, P25, P26, P27, P29, P3, P31",TestPoint_Pad_1.5x1.5mm,13,TestPoint,
Q1,SOT-23,1,BC817-40,
Q2,SOT-23,1,AO3401A,
R1,R_0402_1005Metric,1,4.7K,
R10,R_0402_1005Metric,1,30K,
"R11, R23, R24, R8",R_0402_1005Metric,4,10K,
R12,R_0402_1005Metric,1,470K,
R13,R_0402_1005Metric,1,300K,
R14,R_0402_1005Metric,1,1M,
R15,R_0603_1608Metric,1,22R,
"R16, R7",R_0402_1005Metric,2,47K,
"R19, R22",R_0402_1005Metric,2,0R,
R2,R_0603_1608Metric,1,4.7K,
"R3, R4, R5",R_0402_1005Metric,3,1K,
R6,R_0402_1005Metric,1,13K,
R9,R_0603_1608Metric,1,2.1M,
"RST1, RST2, SW1, SW11, SW2, SW22",SW_SPST_EVQPE1,6,SW_Push,
U1,IRM-H638,1,IRM-H638T/TR2,C91447
U2,TO-39-3,1,PIR203A-S0,C2887899
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,RS8032XK,C237005
U4,E73-2G4M04S,1,E73-2G4M04S-52810,
U5,SOT-89-3,1,HT7218,C259233
