Designator,Mid X,Mid Y,Rotation,Layer
BT1,142.45,-77.9,0.0,top
BT2,140.85,-106.7,180.0,top
C1,138.8,-87.0,90.0,top
C12,122.3,-106.6,0.0,top
C14,127.9,-107.1,0.0,top
C15,156.4,-78.6,90.0,top
C16,163.8,-77.1,0.0,top
C18,154.5,-79.1,90.0,top
C19,129.0,-84.7,0.0,top
C2,141.4,-78.6,90.0,top
C21,173.6,-76.9,180.0,top
C23,125.5,-87.4,-90.0,top
C3,127.0,-93.2,180.0,top
C4,129.9,-96.6,-90.0,top
C5,110.8,-87.7,180.0,top
C9,132.3,-103.4,-90.0,top
D1,100.7,-93.6,90.0,bottom
D3,176.2,-107.88,180.0,top
H1,106.2,-104.3,0.0,top
J1,161.275,-104.2,-90.0,top
J2,153.8,-98.22,180.0,top
J4,100.0,-76.3,0.0,top
J5,147.58,-108.1,-90.0,top
JP1,124.925,-82.3,-90.0,top
L2,162.2,-78.9,180.0,top
L3,160.5,-77.1,180.0,top
Q1,104.9,-95.1,180.0,top
Q2,133.0,-78.2,90.0,top
R1,108.7,-95.2,-90.0,top
R10,132.5,-100.3,180.0,top
R11,152.6,-107.7,90.0,top
R12,123.9,-104.0,-90.0,top
R13,122.7,-104.0,90.0,top
R14,127.9,-108.5,0.0,top
R15,100.7,-87.4,90.0,top
R16,133.0,-81.3,180.0,top
R19,137.6,-77.5,-90.0,top
R2,123.1,-87.4,90.0,top
R22,139.4,-77.5,-90.0,top
R23,137.9,-80.9,-90.0,top
R24,139.4,-80.9,-90.0,top
R3,173.9,-107.88,90.0,top
R4,177.125,-105.08,90.0,top
R5,178.7,-107.98,90.0,top
R6,121.0,-104.0,-90.0,top
R7,126.8,-96.3,180.0,top
R8,128.6,-96.2,90.0,top
R9,131.7,-98.1,-90.0,top
RST1,157.8,-108.1,180.0,top
RST2,132.6,-78.9,-90.0,bottom
SW1,144.2,-78.9,90.0,bottom
SW11,160.2,-85.6,180.0,bottom
SW2,138.4,-78.9,90.0,bottom
SW22,160.2,-80.6,180.0,bottom
U1,148.8,-80.7,45.0,top
U2,140.703949,-90.503949,-45.0,top
U3,127.9,-102.1,-90.0,top
U4,171.5,-91.5,-90.0,top
U5,129.4,-88.6,-90.0,top
